ordering,seed,normalized_utility,selected_ues,resolved,rounds,switches,measured_switches,completion_switches,completion_domains,cumulative_masked_assignments,gap_decisions,non_yielding_retention_decisions,priority_completion_decisions,repaired_state_priority_decisions,unresolved_conflicts
random_03,1,96.6425685300118,50,True,9,9,8,1,1,2,3,5,1,0,0
random_04,1,100.0,52,True,8,8,8,0,0,0,4,4,0,0,0
random_05,1,96.72371393201313,50,True,10,10,9,1,1,2,4,5,1,0,0
random_06,1,97.57620137194291,50,True,10,10,9,1,1,2,5,4,1,0,0
random_07,1,99.96946518840026,51,True,10,10,10,0,0,0,6,4,0,0,0
random_08,1,97.57620137194291,50,True,10,10,9,1,1,2,5,4,1,0,0
random_09,1,99.96946518840026,51,True,10,10,10,0,0,0,4,6,0,0,0
random_10,1,93.33870131098944,48,True,10,10,9,1,1,3,4,5,1,0,0
random_11,1,100.0,52,True,8,8,8,0,0,0,3,5,0,0,0
random_12,1,99.96946518840026,51,True,10,10,10,0,0,0,4,6,0,0,0
random_13,1,100.0,52,True,8,8,8,0,0,0,3,5,0,0,0
random_14,1,93.25755590898811,48,True,9,9,8,1,1,3,3,5,1,0,0
random_15,1,97.49505596994159,50,True,9,9,8,1,1,2,5,3,1,0,0
random_16,1,100.0,52,True,9,9,9,0,0,0,4,5,0,0,0
random_17,1,99.96946518840026,51,True,10,10,10,0,0,0,4,6,0,0,0
random_18,1,97.57620137194291,50,True,10,10,9,1,1,2,5,4,1,0,0
random_19,1,97.49505596994159,50,True,9,9,8,1,1,2,5,3,1,0,0
ascending,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
descending,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_00,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_01,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_02,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_03,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_04,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_05,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_06,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_07,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_08,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_09,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_10,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_11,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_12,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_13,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_14,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_15,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_16,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_17,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_18,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
random_19,2,100.00000000000001,51,True,5,5,5,0,0,0,4,1,0,0,0
ascending,3,99.59878886713508,53,True,9,9,8,1,1,1,6,2,1,0,0
descending,3,99.76374144077491,52,True,9,9,9,0,0,0,5,4,0,0,0
random_00,3,99.59878886713508,53,True,9,9,8,1,1,1,5,3,1,0,0
random_01,3,99.59878886713508,53,True,9,9,8,1,1,1,4,4,1,0,0
random_02,3,99.76374144077491,52,True,9,9,9,0,0,0,5,4,0,0,0
random_03,3,99.76374144077491,52,True,9,9,9,0,0,0,5,4,0,0,0
random_04,3,99.59878886713508,53,True,9,9,8,1,1,1,5,3,1,0,0
random_05,3,99.59878886713508,53,True,9,9,8,1,1,1,7,1,1,0,0
random_06,3,99.59878886713508,53,True,9,9,8,1,1,1,4,4,1,0,0
random_07,3,99.59878886713508,53,True,9,9,8,1,1,1,4,4,1,0,0
random_08,3,99.59878886713508,53,True,9,9,8,1,1,1,6,2,1,0,0
random_09,3,99.76374144077491,52,True,9,9,9,0,0,0,6,3,0,0,0
random_10,3,99.76374144077491,52,True,9,9,9,0,0,0,5,4,0,0,0
random_11,3,99.76374144077491,52,True,9,9,9,0,0,0,6,3,0,0,0
random_12,3,99.59878886713508,53,True,9,9,8,1,1,1,6,2,1,0,0
random_13,3,99.76374144077491,52,True,9,9,9,0,0,0,5,4,0,0,0
random_14,3,99.76374144077491,52,True,9,9,9,0,0,0,6,3,0,0,0
random_15,3,99.59878886713508,53,True,9,9,8,1,1,1,5,3,1,0,0
random_16,3,99.76374144077491,52,True,9,9,9,0,0,0,6,3,0,0,0
random_17,3,99.59878886713508,53,True,9,9,8,1,1,1,4,4,1,0,0
random_18,3,99.59878886713508,53,True,9,9,8,1,1,1,4,4,1,0,0
random_19,3,99.76374144077491,52,True,9,9,9,0,0,0,6,3,0,0,0
ascending,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
descending,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_00,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_01,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_02,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_03,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_04,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_05,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_06,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_07,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_08,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_09,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_10,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_11,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_12,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_13,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_14,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_15,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_16,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_17,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_18,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
random_19,4,99.82826084149595,55,True,7,7,7,0,0,0,4,3,0,0,0
ascending,5,97.48045639154556,45,True,9,9,8,1,1,1,4,4,1,0,0
descending,5,96.04011769535391,44,True,10,10,9,1,1,2,2,7,1,0,0
random_00,5,96.12104828379638,43,True,10,10,9,1,1,2,4,5,1,0,0
random_01,5,98.03279500269593,44,True,10,10,9,1,1,1,4,5,1,0,0
random_02,5,96.44866051859113,44,True,9,9,8,1,1,2,5,3,1,0,0
random_03,5,96.36772993014866,45,True,9,9,8,1,1,2,4,4,1,0,0
random_04,5,96.04011769535391,44,True,10,10,9,1,1,2,5,4,1,0,0
random_05,5,95.56870967264602,44,True,9,9,8,1,1,2,4,4,1,0,0
random_06,5,92.56608825357196,42,True,10,10,7,3,3,5,4,3,3,0,0
random_07,5,94.47783497247148,43,True,10,10,7,3,3,4,5,2,3,0,0
random_08,5,96.36772993014866,45,True,9,9,8,1,1,2,4,4,1,0,0
random_09,5,96.04011769535391,44,True,10,10,9,1,1,2,3,6,1,0,0
random_10,5,95.56870967264602,44,True,9,9,8,1,1,2,3,5,1,0,0
random_11,5,94.47783497247148,43,True,10,10,7,3,3,4,5,2,3,0,0
random_12,5,92.89472170648924,42,True,10,10,7,3,3,5,5,2,3,0,0
random_13,5,91.68613740762687,42,True,10,10,7,3,3,5,4,3,3,0,0
random_14,5,98.36040723749066,45,True,9,9,8,1,1,1,5,3,1,0,0
random_15,5,96.44866051859113,44,True,9,9,8,1,1,2,4,4,1,0,0
random_16,5,97.39952580310309,46,True,9,9,8,1,1,1,4,4,1,0,0
random_17,5,97.39952580310309,46,True,9,9,8,1,1,1,4,4,1,0,0
random_18,5,95.48777908420355,45,True,9,9,8,1,1,2,4,4,1,0,0
random_19,5,95.24109743785131,43,True,10,10,9,1,1,2,5,4,1,0,0
ascending,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
descending,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_00,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_01,6,100.0,49,True,4,4,4,0,0,0,4,0,0,0,0
random_02,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_03,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_04,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_05,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_06,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_07,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_08,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_09,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_10,6,100.0,49,True,4,4,4,0,0,0,4,0,0,0,0
random_11,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_12,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_13,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_14,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_15,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_16,6,100.0,49,True,4,4,4,0,0,0,3,1,0,0,0
random_17,6,99.97628115568173,49,True,4,4,4,0,0,0,3,1,0,0,0
random_18,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
random_19,6,99.97628115568173,49,True,4,4,4,0,0,0,4,0,0,0,0
ascending,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
descending,7,100.0,53,True,9,9,9,0,0,0,6,3,0,0,0
random_00,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_01,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_02,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_03,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_04,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_05,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_06,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_07,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_08,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_09,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_10,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_11,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_12,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_13,7,100.0,53,True,9,9,9,0,0,0,6,3,0,0,0
random_14,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_15,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_16,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_17,7,100.0,53,True,9,9,9,0,0,0,4,5,0,0,0
random_18,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
random_19,7,100.0,53,True,9,9,9,0,0,0,5,4,0,0,0
ascending,8,88.0718901279644,45,True,11,11,6,5,4,8,1,5,5,0,0
descending,8,89.37142979164592,47,True,11,11,8,3,3,6,6,2,3,0,0
random_00,8,89.3858084606732,46,True,11,11,7,4,4,7,4,3,4,0,0
random_01,8,87.49969855011243,45,True,11,11,7,4,4,9,5,2,4,0,0
random_02,8,89.49130178075887,46,True,12,12,8,4,3,8,5,3,4,0,0
random_03,8,89.37142979164592,47,True,11,11,8,3,3,6,5,3,3,0,0
random_04,8,89.37142979164592,47,True,11,11,8,3,3,6,6,2,3,0,0
random_05,8,90.09151746069281,47,True,11,11,8,3,3,5,3,5,3,0,0
random_06,8,88.21978621915929,45,True,11,11,7,4,4,8,4,3,4,0,0
random_07,8,88.21978621915929,45,True,11,11,7,4,4,8,4,3,4,0,0
random_08,8,87.49969855011243,45,True,11,11,7,4,4,9,5,2,4,0,0
random_09,8,90.17521587735952,46,True,11,11,7,4,4,7,3,4,4,0,0
random_10,8,90.17521587735952,46,True,11,11,7,4,4,7,3,4,4,0,0
random_11,8,87.49969855011243,45,True,11,11,7,4,4,9,5,2,4,0,0
random_12,8,90.09151746069281,47,True,11,11,8,3,3,5,4,4,3,0,0
random_13,8,95.46521912595999,50,True,11,11,9,2,2,2,3,6,2,0,0
random_14,8,89.3858084606732,46,True,11,11,7,4,4,7,4,3,4,0,0
random_15,8,88.21978621915929,45,True,11,11,7,4,4,8,5,2,4,0,0
random_16,8,89.37142979164592,47,True,11,11,8,3,3,6,4,4,3,0,0
random_17,8,87.35180245891752,45,True,11,11,7,4,4,8,3,4,4,0,0
random_18,8,86.81786088048392,45,True,11,11,6,5,5,9,4,2,5,0,0
random_19,8,89.49130178075887,46,True,11,11,7,4,3,8,4,3,4,0,0
ascending,9,91.25691367239133,47,True,13,13,11,2,2,4,3,8,2,0,0
descending,9,92.42535238340342,45,True,11,11,8,3,2,7,4,4,3,0,0
random_00,9,92.42535238340342,45,True,11,11,8,3,2,7,5,3,3,0,0
random_01,9,88.24852405879058,44,True,11,11,8,3,3,6,5,3,3,0,0
random_02,9,89.11577183404822,45,True,12,12,8,4,3,7,3,5,4,0,0
random_03,9,86.46360481456745,43,True,10,10,6,4,3,9,3,3,4,0,0
random_04,9,91.25691367239133,47,True,13,13,10,3,2,5,2,8,3,0,0
random_05,9,88.0488883819345,45,True,11,11,8,3,3,6,2,6,3,0,0
random_06,9,94.21027162762654,46,True,12,12,10,2,2,4,5,5,2,0,0
random_07,9,88.24852405879058,44,True,11,11,8,3,3,6,3,5,3,0,0
random_08,9,94.56477681835263,47,True,13,13,10,3,2,5,3,7,3,0,0
random_09,9,91.25691367239133,47,True,13,13,11,2,2,4,3,8,2,0,0
random_10,9,88.24852405879058,44,True,11,11,8,3,3,6,5,3,3,0,0
random_11,9,88.24852405879058,44,True,11,11,7,4,3,7,3,4,4,0,0
random_12,9,92.42535238340342,45,True,11,11,8,3,2,7,4,4,3,0,0
random_13,9,88.24852405879058,44,True,11,11,7,4,3,7,2,5,4,0,0
random_14,9,86.46360481456745,43,True,10,10,6,4,3,9,4,2,4,0,0
random_15,9,87.33085258982511,44,True,11,11,7,4,3,9,3,4,4,0,0
random_16,9,90.19003022027762,47,True,12,12,10,2,2,4,2,8,2,0,0
random_17,9,87.18164060667684,44,True,10,10,7,3,3,6,4,3,3,0,0
random_18,9,88.24852405879058,44,True,11,11,8,3,3,6,5,3,3,0,0
random_19,9,92.42535238340342,45,True,11,11,8,3,2,7,5,3,3,0,0
ascending,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
descending,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_00,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_01,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_02,10,100.0,50,True,10,10,10,0,0,0,7,3,0,0,0
random_03,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_04,10,100.0,50,True,10,10,10,0,0,0,9,1,0,0,0
random_05,10,100.0,50,True,10,10,10,0,0,0,7,3,0,0,0
random_06,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_07,10,100.0,50,True,10,10,10,0,0,0,7,3,0,0,0
random_08,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_09,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_10,10,100.0,50,True,10,10,10,0,0,0,9,1,0,0,0
random_11,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_12,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_13,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_14,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_15,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_16,10,100.0,50,True,10,10,10,0,0,0,9,1,0,0,0
random_17,10,100.0,50,True,10,10,10,0,0,0,7,3,0,0,0
random_18,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
random_19,10,100.0,50,True,10,10,10,0,0,0,8,2,0,0,0
ascending,11,91.39766548767436,50,True,10,10,8,2,2,4,6,2,2,0,0
descending,11,91.36400113820974,50,True,10,10,8,2,2,4,5,3,2,0,0
random_00,11,90.75209506995043,49,True,10,10,7,3,2,7,6,1,3,0,0
random_01,11,92.03988448570287,51,True,11,11,9,2,2,4,6,3,2,0,0
random_02,11,91.36400113820974,50,True,10,10,8,2,2,4,5,3,2,0,0
random_03,11,92.08320909419974,51,True,11,11,9,2,2,4,6,3,2,0,0
random_04,11,92.0735488351675,51,True,11,11,9,2,2,4,6,3,2,0,0
random_05,11,90.75209506995043,49,True,10,10,8,2,2,5,7,1,2,0,0
random_06,11,92.0735488351675,51,True,11,11,9,2,2,4,6,3,2,0,0
random_07,11,92.0735488351675,51,True,11,11,9,2,2,4,6,3,2,0,0
random_08,11,91.39766548767436,50,True,10,10,8,2,2,4,6,2,2,0,0
random_09,11,91.36400113820974,50,True,10,10,8,2,2,4,6,2,2,0,0
random_10,11,91.36400113820974,50,True,10,10,8,2,2,4,5,3,2,0,0
random_11,11,92.08320909419974,51,True,11,11,9,2,2,4,6,3,2,0,0
random_12,11,91.36400113820974,50,True,10,10,8,2,2,4,6,2,2,0,0
random_13,11,91.39766548767436,50,True,10,10,8,2,2,4,6,2,2,0,0
random_14,11,91.43763867647581,50,True,11,11,9,2,2,5,6,3,2,0,0
random_15,11,92.6854549034268,52,True,11,11,9,2,2,3,5,4,2,0,0
random_16,11,91.39766548767436,50,True,10,10,8,2,2,4,6,2,2,0,0
random_17,11,92.08320909419974,51,True,11,11,9,2,2,4,6,3,2,0,0
random_18,11,92.03988448570287,51,True,11,11,9,2,2,4,6,3,2,0,0
random_19,11,91.39766548767436,50,True,10,10,8,2,2,4,6,2,2,0,0
ascending,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
descending,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_00,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_01,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_02,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_03,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_04,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_05,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_06,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_07,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_08,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_09,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_10,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_11,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_12,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_13,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_14,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_15,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_16,12,99.43383607366329,49,True,8,8,8,0,0,0,6,2,0,0,0
random_17,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_18,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
random_19,12,99.43383607366329,49,True,8,8,8,0,0,0,5,3,0,0,0
ascending,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
descending,13,99.26135848193486,51,True,10,10,10,0,0,0,5,5,0,0,0
random_00,13,99.26135848193486,51,True,10,10,10,0,0,0,5,5,0,0,0
random_01,13,99.26135848193486,51,True,10,10,10,0,0,0,5,5,0,0,0
random_02,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_03,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_04,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_05,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_06,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_07,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_08,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_09,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_10,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_11,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_12,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_13,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_14,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_15,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_16,13,99.26135848193486,51,True,10,10,10,0,0,0,5,5,0,0,0
random_17,13,99.26135848193486,51,True,10,10,10,0,0,0,5,5,0,0,0
random_18,13,99.56934033002918,49,True,10,10,10,0,0,0,5,5,0,0,0
random_19,13,99.26135848193486,51,True,10,10,10,0,0,0,5,5,0,0,0
ascending,14,93.81883016735395,51,True,11,11,8,3,2,4,3,5,3,0,0
descending,14,93.71143596358873,50,True,11,11,9,2,2,3,5,4,2,0,0
random_00,14,93.22179944027069,50,True,11,11,9,2,2,3,3,6,2,0,0
random_01,14,93.81883016735395,51,True,11,11,8,3,2,4,4,4,3,0,0
random_02,14,93.22179944027069,50,True,11,11,9,2,2,3,4,5,2,0,0
random_03,14,93.22179944027069,50,True,11,11,8,3,2,4,2,6,3,0,0
random_04,14,92.23090321823497,50,True,11,11,8,3,2,6,4,4,3,0,0
random_05,14,92.23090321823497,50,True,11,11,8,3,2,6,5,3,3,0,0
random_06,14,92.23090321823497,50,True,11,11,8,3,2,6,6,2,3,0,0
random_07,14,93.81883016735395,51,True,11,11,8,3,2,4,5,3,3,0,0
random_08,14,94.33587235136719,51,True,10,10,7,3,2,4,4,3,3,0,0
random_09,14,93.31823771701569,50,True,11,11,9,2,2,3,4,5,2,0,0
random_10,14,93.81883016735395,51,True,11,11,8,3,2,4,4,4,3,0,0
random_11,14,92.23090321823497,50,True,11,11,8,3,2,6,6,2,3,0,0
random_12,14,93.22179944027069,50,True,11,11,9,2,2,3,3,6,2,0,0
random_13,14,92.65150712550322,50,True,10,10,7,3,2,6,5,2,3,0,0
random_14,14,93.22179944027069,50,True,11,11,9,2,2,3,4,5,2,0,0
random_15,14,93.81883016735395,51,True,11,11,8,3,2,4,5,3,3,0,0
random_16,14,93.81883016735395,51,True,11,11,8,3,2,4,5,3,3,0,0
random_17,14,94.33587235136719,51,True,10,10,7,3,2,4,3,4,3,0,0
random_18,14,93.81883016735395,51,True,11,11,8,3,2,4,3,5,3,0,0
random_19,14,92.23090321823497,50,True,11,11,8,3,2,6,5,3,3,0,0
ascending,15,90.77895172655965,43,True,7,7,3,4,3,7,3,0,4,0,0
descending,15,95.97903083364753,46,True,8,8,6,2,2,2,4,2,2,0,0
random_00,15,90.49643252476233,43,True,7,7,4,3,3,5,3,1,3,0,0
random_01,15,95.97903083364753,46,True,8,8,6,2,2,2,4,2,2,0,0
random_02,15,90.49643252476233,43,True,7,7,4,3,3,5,4,0,3,0,0
random_03,15,95.97903083364753,46,True,8,8,6,2,2,2,4,2,2,0,0
random_04,15,95.97903083364753,46,True,8,8,6,2,2,2,5,1,2,0,0
random_05,15,95.97903083364753,46,True,8,8,6,2,2,2,4,2,2,0,0
random_06,15,95.97903083364753,46,True,8,8,6,2,2,2,5,1,2,0,0
random_07,15,95.97903083364753,46,True,8,8,6,2,2,2,4,2,2,0,0
random_08,15,90.49643252476233,43,True,7,7,4,3,3,5,3,1,3,0,0
random_09,15,90.77895172655965,43,True,7,7,3,4,3,7,3,0,4,0,0
random_10,15,95.97903083364753,46,True,8,8,6,2,2,2,3,3,2,0,0
random_11,15,95.25385059835101,45,True,8,8,6,2,2,2,2,4,2,0,0
random_12,15,95.25385059835101,45,True,8,8,6,2,2,2,3,3,2,0,0
random_13,15,90.49643252476233,43,True,7,7,4,3,3,5,4,0,3,0,0
random_14,15,95.97903083364753,46,True,8,8,6,2,2,2,5,1,2,0,0
random_15,15,94.34354215992757,45,True,8,8,6,2,2,3,3,3,2,0,0
random_16,15,90.49643252476233,43,True,7,7,4,3,3,5,3,1,3,0,0
random_17,15,95.97903083364753,46,True,8,8,6,2,2,2,4,2,2,0,0
